source,target,type
86,17,Undirected
86,31,Undirected
87,7,Undirected
87,12,Undirected
87,17,Undirected
87,24,Undirected
87,27,Undirected
87,36,Undirected
87,65,Undirected
87,67,Undirected
87,70,Undirected
87,83,Undirected
88,12,Undirected
88,15,Undirected
88,17,Undirected
88,25,Undirected
88,48,Undirected
89,4,Undirected
89,9,Undirected
89,17,Undirected
89,28,Undirected
89,53,Undirected
90,42,Undirected
91,1,Undirected
92,28,Undirected
92,30,Undirected
92,76,Undirected
92,89,Undirected
93,2,Undirected
93,17,Undirected
94,20,Undirected
94,22,Undirected
94,81,Undirected
95,92,Undirected
96,27,Undirected
96,92,Undirected
97,2,Undirected
98,2,Undirected
98,11,Undirected
98,17,Undirected
98,43,Undirected
98,81,Undirected
99,43,Undirected
99,89,Undirected
100,32,Undirected
100,43,Undirected
101,51,Undirected
101,60,Undirected
102,1,Undirected
102,2,Undirected
102,12,Undirected
102,13,Undirected
102,17,Undirected
102,44,Undirected
102,50,Undirected
102,53,Undirected
102,66,Undirected
102,70,Undirected
103,17,Undirected
103,24,Undirected
103,27,Undirected
103,31,Undirected
103,37,Undirected
103,39,Undirected
103,65,Undirected
103,73,Undirected
104,2,Undirected
104,11,Undirected
104,12,Undirected
104,15,Undirected
104,17,Undirected
104,24,Undirected
104,25,Undirected
104,26,Undirected
104,31,Undirected
104,33,Undirected
104,35,Undirected
104,38,Undirected
104,46,Undirected
104,48,Undirected
104,50,Undirected
104,59,Undirected
104,61,Undirected
104,81,Undirected
104,84,Undirected
104,103,Undirected
105,2,Undirected
105,14,Undirected
105,23,Undirected
105,70,Undirected
105,72,Undirected
105,104,Undirected
106,7,Undirected
106,51,Undirected
106,76,Undirected
106,80,Undirected
106,88,Undirected
106,96,Undirected
107,33,Undirected
107,34,Undirected
108,20,Undirected
108,24,Undirected
108,31,Undirected
108,105,Undirected
109,79,Undirected
110,79,Undirected
110,100,Undirected
111,2,Undirected
